word	frequency
基金	64
购买	56
市场	48
期货	42
股票	38
指数	38
汽车	38
证券	30
涨幅	28
科技	28
混合	26
概念	26
上市	26
港股	26
股份	24
黄金	24
行业	24
数据	24
经济	24
低空	22
融资	22
持续	22
交易	20
智能	20
中国	20
收益	20
举报	20
价格	20
财经	20
板块	20
能源	20
要闻	18
开户	18
投资	18
公司	18
名称	18
花顺	16
行情	16
贷款	16
信息	16
介入	16
全球	16
我们	16
主题	16
买入	16
货币	16
资金	16
手机	16
震荡	16
提示	14
评级	14
今天	14
利率	14
成功率	14
连续	14
股市	14
新股	14
直播	14
有望	14
代码	14
游资	14
高科	12
小米	12
后市	12
精选	12
情绪	12
需求	12
波动	12
时代	12
涨跌幅	12
查看	12
净值	12
中心	12
立即	12
宁德	12
正式	10
机构	10
上涨	10
财富	10
投资者	10
债券	10
外汇	10
龙虎	10
还是	10
最新	10
技术	10
城市	10
炒股	10
确认	10
广发	10
融券	10
神州	10
突破	10
预期	10
不过	10
新闻	10
费率	10
加强	10
加速	10
免费	10
产品	10
产业	10
传闻	10
涨跌	10
个股	10
易方达	10
理财	10
关注	10
排行	10
下载	10
成长	10
一下	10
安彩	10
艾艾	10
正在	10
公告	8
消费	8
降息	8
大宗	8
大盘	8
大家	8
周四	8
操作	8
申购	8
河南	8
方式	8
宏观	8
多头	8
近期	8
平台	8
自选	8
策略	8
美元	8
创新	8
软件	8
其他	8
电话	8
控股	8
强势	8
浙江	8
增强	8
增长	8
登录	8
股东	8
扫描	8
早间	8
添加	8
短线	8
两年	8
美联储	8
聚变	8
股指	8
硫酸铵	8
高度	8
频道	8
光伏	8
人参	8
合计	8
一个	8
研究	8
芯片	8
效应	8
先锋	8
必读	8
金融	8
解读	8
概念股	8
首页	8
零部件	8
上调	8
已经	8
发现	6
大小	6
发声	6
服务器	6
未成年人	6
目前	6
机器人	6
目标	6
马斯克	6
电脑	6
不错	6
利好	6
时间	6
持有	6
注册	6
筹码	6
美国	6
中欧	6
搅动	6
这一	6
降低	6
预计	6
开始	6
预测	6
医疗	6
神经	6
医药	6
股价	6
给予	6
未来	6
小时	6
现金	6
白银	6
飞行	6
精工	6
变为	6
风险	6
制造	6
服务	6
资金流	6
简称	6
参与	6
渗透	6
保险	6
集体	6
万科	6
集团	6
内容	6
国际	6
这个	6
健康	6
成交量	6
日历	6
权重	6
再次	6
万丰奥	6
比较	6
政策	6
成交	6
招商	6
公积金	6
提升	6
开盘	6
电子	6
宣布	6
重磅	6
金额	6
还有	6
回应	6
回购	6
创业	6
电信	6
首付	6
业绩	6
商业	6
落地	6
圈子	6
发展	6
价值	6
进行	6
进入	6
机会	6
印度	4
不了	4
黄仁勋	4
预告	4
点击	4
考虑	4
变现	4
推荐	4
不会	4
午后	4
监管	4
项目	4
明天	4
四大	4
可能	4
可以	4
新发	4
铁矿石	4
香港	4
新高	4
独家	4
联系	4
证监会	4
鲍威尔	4
反馈	4
顶尖	4
普光磁	4
量化	4
财务	4
达克	4
有限公司	4
警示	4
华泰柏	4
没有	4
由于	4
版本	4
贸易	4
关系	4
下降	4
下周	4
自由	4
下游	4
银华	4
提到	4
提供	4
为主	4
热门	4
热电	4
